window,t,s_fit,s_ci_lo,s_ci_hi
online,1,4.823036300178511,2.3215419113099265,10.019926428859625
online,2,29.68935907988143,17.70366997807699,49.78956587338529
online,3,182.7599851449416,119.82487896273406,278.75022665841504
online,4,1125.0230117905471,670.8476280977911,1886.6829426633565
online,5,6925.349529080463,3333.478784233015,14387.512027009945
online,6,42630.65341534916,15840.372051205799,114730.4245597741
online,7,262423.232645259,73960.51655478001,931117.7941947052
online,8,1615409.2774752676,342507.4489287663,7618950.016751001
online,9,9944040.043439008,1579166.7232897044,62617791.349810384
online,10,61212928.36702332,7261916.580782281,515982600.12822855
online,11,376810892.04166967,33338736.648234114,4258903085.0021596
online,12,2319550006.0038,152881987.5587899,35192584268.851555
online,13,14278547526.055124,700513597.7926083,291039203373.42834
online,14,87895030900.869,3207913907.4760146,2408274249212.3696
online,15,541058986774.90546,14683759027.583109,19936640653117.008
online,16,3330618627349.421,67189874057.28199,165099586753053.12
outage,1,2.792868093104104,1.0981405295129982,7.10301821656481
outage,2,9.85983559421951,5.095817722043377,19.077675703450222
outage,3,34.80878963996752,20.306517563789342,59.668125388477854
outage,4,122.88763079476307,63.51150187443335,237.7737788693213
outage,5,433.8378311497101,170.58267334495102,1103.366831143963
outage,6,1531.6046254567802,432.7555277991158,5420.641859044086
outage,7,5407.118882426608,1073.5085415053654,27234.93430960118
outage,8,19089.087433367396,2635.2256031618604,138277.8228177238
outage,9,67391.3903064052,6432.6361541975675,706024.6186109344
outage,10,237916.0084673093,15649.90013015804,3616893.821318282
outage,11,839929.6531449768,37993.39348391497,18568539.357531104
outage,12,2965255.7924835007,92103.92694496494,95465440.0361333
outage,13,10468426.590172159,223051.57703686348,491312174.20494646
outage,14,36957336.21079607,539769.1174423232,2530423945.4636173
outage,15,130472778.12313141,1305467.830713757,13039881512.714567
outage,16,460616147.6052225,3155988.5207074834,67226871721.039795
